== 已剔除的现代要素 ==
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 991060112
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 991060114
  railway | {'railway': 'rail'} | 991060115
  railway | {'railway': 'rail'} | 991060116
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 连镇线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 泰安镇联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 泰安镇联络线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 991060133
  railway | {'railway': 'rail'} | 991060134
  railway | {'railway': 'rail', 'bridge': 'yes'} | 991060135
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 991108864
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 991247213
  railway | {'railway': 'rail', 'bridge': 'yes'} | 991247214
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  line | {} | 1001665820
  line | {} | 1001684259
  line | {} | 1001684261
  line | {} | 1001686363
  line | {} | 1001686365
  line | {} | 1001686366
  line | {} | 1001686367
  line | {} | 1001686368
  line | {} | 1001686369
  line | {} | 1001689740
  line | {} | 1001693998
  line | {} | 1001693999
  line | {} | 1009876534
  line | {} | 1009876535
  line | {} | 1009876537
  line | {} | 1009876539
  line | {} | 1009876540
  line | {} | 1009876542
  line | {} | 1009876543
  line | {} | 1009876544
  line | {} | 1009876549
